question,document
"Ktoś może mi powiedzieć, jak przestać dostawać e-maile z OLX do folderu spam w Wirtualnej Polsce?",b6427a45
"Jakie kroki muszę podjąć, żeby e-maile od OLX były zawsze odbierane na wp.pl?",b6427a45
W jaki sposób mogę dodać adresy OLX do białej listy w mojej skrzynce na WP?,b6427a45
"Co muszę zrobić, aby wiadomości z adresów OLX na pewno nie trafiały do spamu na WP?",b6427a45
Jak mogę dodać adresy OLX do zaufanych na mojej poczcie o2?,60a68db3
"Skąd mogę wiedzieć, gdzie znaleźć opcje dodawania filtrów na poczcie Tlen?",60a68db3
"Jakie są dokładne adresy e-mail OLX, które powinienem dodać do białej listy na o2?",60a68db3
Jak mogę zapobiec oznaczaniu e-maili od OLX jako spam na mojej skrzynce pocztowej o2?,60a68db3
"Które opcje muszę zaznaczyć, aby e-maile od OLX nie były oznaczane jako spam na o2?",60a68db3
Jak mogę dodać adres e-mail OLX do zaufanych w Apple Mail?,ad5b87dc
"Czy ktoś mógłby mi wyjaśnić, jak stworzyć nową zasadę w Apple Mail, aby wiadomości OLX trafiały do skrzynki odbiorczej?",ad5b87dc
"Gdzie znajdę opcję 'Dodaj zasadę' w Apple Mail, aby dodać OLX do zaufanych nadawców?",ad5b87dc
Jakie adresy e-mail OLX muszę dodać do zaufanych nadawców w Apple Mail?,ad5b87dc
"Jakie kroki muszę podjąć, aby wiadomości od OLX nie trafiały do folderu spam w Apple Mail?",ad5b87dc
SEKCJA,ce9623ca
ZAGADNIENIE,ce9623ca
PYTANIA,ce9623ca
"Czy oceny są widoczne we wszystkich moich ogłoszeniach, jeśli sprzedaję różne przedmioty?",314ee8cf
"Czy mogę ocenić sprzedającego, jeśli kupiłem coś spoza kategorii obsługiwanych przez Przesyłkę OLX?",314ee8cf
Czy oceny są widoczne w kategoriach takich jak Usługi lub Praca?,314ee8cf
"Jakie są wymagania, aby oceny były widoczne przy moich ogłoszeniach na OLX?",314ee8cf
"Czy mogę wystawiać oceny sprzedającym w aplikacji OLX, jeśli korzystam z wersji starszej niż 4.95.1 na iOS?",314ee8cf
Kiedy mogę wystawić ocenę sprzedającemu na OLX?,eefc3ee3
Jak wygląda proces ocenienia sprzedającego po zakupie przedmiotu z Przesyłką OLX?,eefc3ee3
"Czy mogę ocenić sprzedającego, jeśli kupiłem przedmiot bez Przesyłki OLX?",eefc3ee3
"Co zrobić, jeśli chcę ocenić sprzedającego na OLX po otrzymaniu przedmiotu?",eefc3ee3
Czy moją ocenę sprzedającego na OLX zobaczą też inni użytkownicy?,eefc3ee3
"Czy mogę w jakiś sposób edytować ocenę, którą już komuś wystawiłem?",f7c6bf38
Czy istnieje możliwość zmiany wystawionej wcześniej oceny na platformie OLX?,f7c6bf38
"Jeśli oceniłem sprzedającego i chciałbym to zmienić, co mogę zrobić?",f7c6bf38
Czy mogę poprawić lub zmodyfikować swoją wcześniejszą ocenę dla sprzedawcy?,f7c6bf38
W jaki sposób mogę zmienić ocenę po jej wystawieniu?,f7c6bf38
Czym dokładnie jest zweryfikowana ocena na OLX?,0eb46939
"Jakie warunki muszą być spełnione, aby ocena była zweryfikowana?",0eb46939
"Czy mogę otrzymać zweryfikowaną ocenę, jeśli przesyłka nie była realizowana przez OLX?",0eb46939
"Czy wszystkie transakcje na OLX mają zweryfikowane oceny, czy tylko te z Przesyłką OLX?",0eb46939
Dlaczego OLX zbiera zweryfikowane oceny tylko dla przesyłek OLX?,0eb46939
Jakie jest znaczenie jednej gwiazdki w systemie ocen na OLX?,5e043cfd
"Co oznacza, jeśli przyznam dwie gwiazdki sprzedającemu na OLX?",5e043cfd
"Jak odbierana jest średnia ocena, czyli trzy gwiazdki, w systemie ocen OLX?",5e043cfd
Czy cztery gwiazdki to dobra ocena dla sprzedającego na platformie OLX?,5e043cfd
Jakie znaczenie ma przyznanie pięciu gwiazdek w systemie ocen OLX?,5e043cfd
Czym są tagi w systemie ocen na OLX?,b1f31cc0
"Kiedy tagi w systemie ocen są obowiązkowe, a kiedy nieobowiązkowe?",b1f31cc0
Jakie pozytywne tagi mogę wybrać w systemie ocen na OLX?,b1f31cc0
Które tagi są widoczne przy trzech gwiazdkach lub mniej w ocenach na OLX?,b1f31cc0
"Czy mogę zmienić tagi, które wcześniej dodałem do oceny na OLX?",b1f31cc0
Czy mogę teraz pisać komentarze w moich ocenach na OLX?,ea83195e
Kiedy będzie można dodawać komentarze tekstowe do ocen?,ea83195e
Czy da się dodać komentarz tekstowy do już wystawionej oceny na OLX?,ea83195e
Czy OLX ma funkcję komentarzy tekstowych w systemie ocen?,ea83195e
"Jeśli komentarze tekstowe będą dostępne, czy mogę ich użyć do poprzednich ocen?",ea83195e
Gdzie mogę zobaczyć oceny sprzedającego na OLX?,e3610c01
W których miejscach na OLX są wyświetlane oceny użytkowników?,e3610c01
"Jak mogę sprawdzić, ile ocen ma dany sprzedający na OLX?",e3610c01
Czy na profilu sprzedającego widoczne są szczegóły ocen?,e3610c01
"Gdzie znajdę analizę ocen, ile razy przyznano każdą ocenę sprzedającemu na OLX?",e3610c01
"Jakie są przyczyny, dla których niektórzy sprzedawcy mają dwie różne oceny na swoim profilu?",b8121ab6
Czemu widzę dwie oceny w profilu sprzedającego? Skąd one się biorą?,b8121ab6
Co oznaczają dwie różne oceny na profilu sprzedającego w OLX?,b8121ab6
"Jeśli sprzedający ma dwie oceny, to która jest aktualna i dlaczego?",b8121ab6
Dlaczego sprzedający może nie mieć nowej lub poprzedniej oceny w ich profilu?,b8121ab6
Co oznacza 'poprzednia ocena' na profilu sprzedającego?,2f4756d7
"Jakie znaczenie mają oceny, które widzę jako 'poprzednia ocena' w profilach użytkowników?",2f4756d7
Do kiedy będą widoczne 'poprzednie oceny' sprzedających na OLX?,2f4756d7
Jak obliczana była ogólna ocena w poprzednim systemie ocen na OLX?,2f4756d7
Jakie były przedziały punktowe i ich znaczenie w poprzednim systemie ocen sprzedających na OLX?,2f4756d7
"Czy mogę zobaczyć wszystkie oceny, które dostałem wcześniej?",ec79b98a
Jak odzyskać listę wszystkich moich starych ocen na OLX?,ec79b98a
"Jeśli zgubiłem moje oceny, jak mogę je odzyskać?",ec79b98a
"Czy istnieje sposób, aby zobaczyć moje poprzednie oceny na OLX?",ec79b98a
"Gdzie mogę znaleźć wszystkie oceny, które otrzymałem wcześniej na OLX?",ec79b98a
"Jak mogę sprawdzić wszystkie oceny, które wystawiłem jako kupujący na OLX?",0d5c9008
"Gdzie znajdę oceny, które wystawiłem innym użytkownikom na OLX?",0d5c9008
Które szczegóły mogę zobaczyć przy każdej wystawionej przeze mnie ocenie?,0d5c9008
"Czy mogę usunąć ocenę, którą wystawiłem, i jak będzie to widoczne?",0d5c9008
"Jak uporządkowane są oceny, które wystawiłem na OLX, i gdzie mogę je zobaczyć?",0d5c9008
"Jak mogę sprawdzić, jakie oceny dostałem jako sprzedający na OLX?",c4479dd3
"Jak mogę znaleźć listę ocen, które otrzymałem na moim koncie OLX?",c4479dd3
Jakie informacje są wyświetlane dla każdej oceny w moich otrzymanych ocenach na OLX?,c4479dd3
"Jak mogę zobaczyć, kto mnie ocenił i kiedy na OLX?",c4479dd3
Czy mogę usuwać otrzymane oceny na OLX i jak to jest zaznaczane?,c4479dd3
"W jaki sposób dowiem się, że ktoś wystawił mi nową ocenę na OLX?",fbdcafed
Jak otrzymam informację o nowej ocenie od kupującego?,fbdcafed
"Gdzie mogę sprawdzić, czy dostałem nową ocenę za sprzedaż?",fbdcafed
Czy OLX powiadomi mnie o nowej ocenie za pomocą e-maila?,fbdcafed
W jaki sposób OLX informuje sprzedających o ocenach?,fbdcafed
Jak dokładnie obliczana jest moja ocena jako sprzedającego na OLX?,f151c2bb
W jaki sposób system OLX przelicza oceny od kupujących na moją średnią ocenę?,f151c2bb
Jakie kryteria są brane pod uwagę przy liczeniu mojej oceny jako sprzedającego?,f151c2bb
Co wpływa na moją średnią ocenę jako sprzedawcy na OLX?,f151c2bb
Jakie konkretne oceny wpływają na obliczenie mojej całościowej oceny sprzedającego?,f151c2bb
"Czy mogę samodzielnie usunąć ocenę, którą wystawiłem na OLX?",01f95cb6
"Jakie są kroki do usunięcia oceny na OLX, jeśli uważam ją za niesprawiedliwą?",01f95cb6
"Czy OLX usunie ocenę, jeśli zarzuty w niej zawarte są fałszywe?",01f95cb6
"Czy mogę ponownie ocenić sprzedającego, jeśli moja pierwotna ocena została usunięta?",01f95cb6
"Jakie są uzasadnione powody, aby OLX usunęło ocenę z profilu sprzedającego?",01f95cb6
"Miałem anulowane zamówienie na OLX, czy mogę wystawić ocenę sprzedającemu?",bde8bc7c
"Chciałbym ocenić sprzedawcę, ale moje zamówienie zostało anulowane. Czy to możliwe?",bde8bc7c
"Jeśli moje zamówienie zostało anulowane, mogę ocenić sprzedającego na OLX?",bde8bc7c
"Czy mogę zostawić ocenę, jeśli moje zamówienie nie zostało dostarczone?",bde8bc7c
"Anulowałem zamówienie, ale przedmiot był już w drodze. Czy mogę ocenić sprzedającego?",bde8bc7c
"Czy mogę ocenić sprzedającego, jeśli jeszcze nie odebrałem paczki z punktu odbioru?",d4e7a30b
"Czy mogę wystawić ocenę sprzedającemu, jeśli zamówienie nie zostało dostarczone?",d4e7a30b
"Czy mogę dodać opinię o sprzedającym, jeśli jeszcze nie otrzymałem przedmiotu?",d4e7a30b
"Czy jestem w stanie ocenić transakcję, jeśli nie odebrałem przesyłki?",d4e7a30b
"Czy mogę wystawić ocenę, jeśli przedmiot jeszcze nie dotarł do mnie, tylko do punktu odbioru?",d4e7a30b
Czy mogę ocenić lub otrzymać ocenę na OLX bez użycia Przesyłki OLX?,78b8c86d
"Czy mogę wystawić ocenę komuś, jeśli tylko rozmawialiśmy na czacie OLX?",78b8c86d
Czy istnieje możliwość wystawienia oceny bez wykonania transakcji z Przesyłką OLX?,78b8c86d
"Czy mogę otrzymać ocenę, jeśli kupuję przedmiot bez korzystania z Przesyłki OLX?",78b8c86d
Dlaczego system ocen na OLX nie pozwala na wystawianie ocen bez używania Przesyłki OLX?,78b8c86d
Co oznacza ocena w systemie ocen na OLX?,37570bca
Jakie znaczenie mają gwiazdki w ocenie sprzedającego na OLX?,37570bca
Co to są tagi i jak wpływają na ocenę sprzedającego na OLX?,37570bca
Jak obliczana jest łączna ocena sprzedającego na OLX?,37570bca
Czym różni się zweryfikowana ocena od innych ocen na OLX?,37570bca
Czym dokładnie jest ogłoszenie na OLX?,896d0dae
Jakie informacje powinno zawierać ogłoszenie na OLX?,896d0dae
Co rozumie się przez ogłoszenie w kontekście sprzedaży lub świadczenia przedmiotu?,896d0dae
Czy ogłoszenie na OLX może dotyczyć zaproszenia do procesu rekrutacyjnego?,896d0dae
Jakie zasady regulują publikowanie ogłoszeń na OLX?,896d0dae
Jak mogę uzyskać pełną funkcjonalność mojego konta na OLX?,aa9e24ac
"Czy muszę być zalogowany, aby korzystać z wszystkich możliwości OLX?",aa9e24ac
Jakie korzyści daje mi założenie konta na OLX?,aa9e24ac
Czy mogę publikować ogłoszenia bez rejestracji na OLX?,aa9e24ac
Na czym polega używanie serwisu Fixly z kontem OLX?,aa9e24ac
"Czy mogę korzystać z OLX, jeśli jestem osobą fizyczną?",84d8b35f
Czy firma może mieć konto na OLX?,84d8b35f
Kto może działać w imieniu firmy na OLX?,84d8b35f
"Czy muszę mieć pełną zdolność do czynności prawnych, aby korzystać z OLX?",84d8b35f
Czy jednostki bez osobowości prawnej mogą mieć konto na OLX?,84d8b35f
Czy mogę mieć więcej niż jedno konto na OLX?,d30e6624
Czy mogę stworzyć osobne konto na potrzeby mojej działalności gospodarczej?,d30e6624
"Co zrobić, jeśli zapomnę hasła do konta na OLX?",d30e6624
Czy mogę mieć różne konta dla różnych oddziałów mojej firmy na OLX?,d30e6624
"Co się stanie, jeśli OLX uzna, że posiadam zbyt wiele kont związanych z działalnością gospodarczą?",d30e6624
"Jakie dane muszę podać, żeby zarejestrować konto na OLX?",f018251f
Czy mogę zarejestrować się na OLX za pomocą mojego konta na Facebooku?,f018251f
Czy mogę użyć mojego konta na Google do rejestracji na OLX?,f018251f
Czy muszę zaakceptować regulamin OLX podczas rejestracji?,f018251f
Jakie są wymagania dotyczące hasła podczas rejestracji na OLX?,f018251f
W jaki sposób OLX przetwarza moje dane osobowe?,ea07084a
Czy OLX przetwarza dane osób działających w imieniu użytkowników?,ea07084a
Czy OLX przetwarza dane gości odwiedzających stronę?,ea07084a
Gdzie mogę znaleźć informacje na temat przetwarzania danych przez OLX?,ea07084a
Czy OLX stosuje się do Polityki Prywatności podczas przetwarzania danych?,ea07084a
Jak dokonuję aktywacji mojego konta po zakończeniu rejestracji na OLX?,33813c2c
"Otrzymałem maila z linkiem do aktywacji konta, co dalej?",33813c2c
"Co się stanie, jeśli nie aktywuję konta w ciągu 30 dni?",33813c2c
"Jak mogę ponownie zarejestrować się na OLX, jeżeli mój link aktywacyjny wygasł?",33813c2c
Czy mogę ponownie użyć tego samego adresu email do rejestracji po wygaśnięciu linku aktywacyjnego?,33813c2c
"Co się stanie, jeśli podam nieprawdziwe dane podczas rejestracji na OLX?",a74246e6
Czy mogę używać fałszywych informacji w moim profilu OLX?,a74246e6
Jakie konsekwencje grożą mi za niedokładne lub nieaktualne dane na OLX?,a74246e6
"Czy OLX zablokuje moje konto, jeśli moje dane będą nieaktualne?",a74246e6
Jakie są wymagania dotyczące podawania danych osobowych podczas rejestracji na OLX?,a74246e6
Czy osoba reprezentująca firmę w OLX musi mieć specjalne upoważnienie?,1f9773b9
"Jakie dokumenty są potrzebne, aby osoba mogła działać na OLX w imieniu firmy?",1f9773b9
"Czy OLX może weryfikować, czy ktoś faktycznie reprezentuje firmę na platformie?",1f9773b9
Czy osoba bez upoważnienia może zarządzać kontem firmy na OLX?,1f9773b9
Co oznacza należyte upoważnienie do działania w imieniu firmy w serwisie OLX?,1f9773b9
Czy mogę udostępniać swoje dane dostępu do konta OLX innym osobom?,bf244995
"Co zrobić, jeśli podejrzewam, że ktoś niepowołany uzyskał dostęp do mojego konta OLX?",bf244995
Jak powinienem chronić swoje dane dostępu do konta OLX przed osobami trzecimi?,bf244995
"Czy OLX wymaga, aby dane logowania do konta pozostały poufne?",bf244995
"W jaki sposób mogę zmienić swoje dane dostępu do konta OLX, jeśli zostały przejęte przez niepowołane osoby?",bf244995
Na jak długo zostaje zawarta umowa usługi Konta na OLX?,0f5525bd
"Co muszę zrobić, aby usunąć swoje konto na OLX?",0f5525bd
Czy po usunięciu konta na OLX tracę dostęp do wszystkich informacji i danych?,0f5525bd
"Czy mogę zamknąć swoje konto na OLX, jeśli mam jeszcze środki na moim Portfelu OLX?",0f5525bd
Kiedy dokładnie umowa usługi Konta na OLX przestaje być skuteczna po usunięciu konta?,0f5525bd
"Jak długo muszę być nieaktywny, żeby moje konto zostało usunięte przez OLX?",b61f3a70
"Co się stanie, jeśli nie zaloguję się na moje konto OLX przez ponad dwa lata?",b61f3a70
Dostanę jakieś powiadomienie zanim OLX usunie moje konto?,b61f3a70
"Czy mogę odzyskać moje konto OLX, jeśli usunęli je z powodu nieaktywności?",b61f3a70
"Co muszę zrobić, jeśli otrzymam od OLX wiadomość o usunięciu mojego konta?",b61f3a70
"Jakie są powody, dla których OLX może poprosić o dodatkowe informacje przy rozwiązaniu umowy z użytkownikiem?",a67ae3a0
"Co się stanie, jeśli Grupa OLX poprosi mnie o dodatkowe dane przy rozwiązaniu umowy?",a67ae3a0
"Jakie działania podejmuje OLX, jeśli nie przejdę weryfikacji danych przy rozwiązaniu umowy?",a67ae3a0
"Czy OLX może zablokować moje konto, jeśli nie przekażę wymaganych dodatkowych danych przy rozwiązaniu umowy?",a67ae3a0
Czy OLX może poprosić mnie o potwierdzenie tożsamości w trakcie rozwiązania umowy z użytkownikiem?,a67ae3a0
Czy jako konsument mogę zrezygnować z umowy zawartej z OLX w ciągu 14 dni?,47ae523b
"Jak mogę odstąpić od umowy z OLX, jeśli nie chcę podawać przyczyny?",47ae523b
Czy mogę złożyć oświadczenie o odstąpieniu od umowy OLX przez formularz kontaktowy?,47ae523b
"Co się stanie z moim kontem OLX, jeśli odstąpię od umowy w ciągu 14 dni?",47ae523b
Gdzie mogę znaleźć wzór formularza o odstąpieniu od umowy z OLX?,47ae523b
Jak mogę rozwiązać umowę usługi Konta jako Użytkownik Biznesowy?,2b0d81ee
"Co muszę zrobić, jeśli nie akceptuję zmian w Regulaminie OLX jako Użytkownik Biznesowy?",2b0d81ee
"Ile mam czasu na powiadomienie Grupy OLX o braku akceptacji zmian w Regulaminie, aby rozwiązać umowę usługi Konta?",2b0d81ee
"Kiedy umowa usługi Konta zostanie rozwiązana, jeśli poinformuję OLX, że nie akceptuję nowych warunków?",2b0d81ee
"Czy mogę nadal korzystać z Konta na OLX, jeśli dokonam publikacji nowego ogłoszenia, mimo że zgłosiłem brak akceptacji zmian?",2b0d81ee
"Czy muszę wskazać, czy korzystam z OLX jako przedsiębiorca, czy prywatnie?",059738e5
Co oznacza deklaracja użytkownika na temat korzystania z OLX jako przedsiębiorca lub prywatnie?,059738e5
